TotalChans=3
ModelNumber=HPHT
SerialNumber=E139
VersionNumber=900
CalibrationDate=08/08/2011
MaximumPressure=16000
LinearAdjustment=1.03
LinearOffset=1.0
CalibrationSampleRate=4
CurrentSampleRate=16
[Data]
POR, 44229.57987112, 16
-0.2923, 0.0000, 116.6396,
-0.2942, 0.0000, 116.0945,
-0.3225, 0.0000, 115.5522,
-0.2893, 0.0000, 115.0137,
-0.3743, 0.0000, 114.4794,
-0.4788, 0.0000, 113.9473,
-0.4524, 0.0000, 113.4179,
-0.4768, 0.0000, 112.8941,
-0.4651, 0.0000, 112.3718,
-0.4632, 0.0000, 111.8535,
-0.5100, 0.0000, 111.3361,
-0.4964, 0.0000, 110.8206,
-0.4583, 0.0000, 110.3109,
-0.4417, 0.0000, 109.8048,
-0.4192, 0.0000, 109.3021,
-0.5120, 0.0000, 108.8034,
-0.5003, 0.0000, 108.3077,
-0.5452, 0.0000, 107.8138,
-0.5012, 0.0000, 107.3242,
-0.5032, 0.0000, 106.8387,
-0.4964, 0.0000, 106.3560,
-0.5032, 0.0000, 105.8774,
-0.5589, 0.0000, 105.4003,
-0.5393, 0.0000, 104.9262,
-0.5520, 0.0000, 104.4566,
-0.5657, 0.0000, 103.9905,
-0.5491, 0.0000, 103.5267,
-0.5022, 0.0000, 103.0673,
-0.5100, 0.0000, 102.6121,
-0.5882, 0.0000, 102.1595,
-0.6009, 0.0000, 101.7105,
-0.5628, 0.0000, 101.2635,
-0.5325, 0.0000, 100.8190,
-0.5276, 0.0000, 100.3774,
-0.5276, 0.0000, 99.9402,
-0.5764, 0.0000, 99.5078,
-0.5608, 0.0000, 99.0780,
-0.5667, 0.0000, 98.6515,
-0.5589, 0.0000, 98.2265,
-0.5198, 0.0000, 97.8041,
-0.5462, 0.0000, 97.3864,
-0.5803, 0.0000, 96.9716,
-0.6165, 0.0000, 96.5604,
-0.6223, 0.0000, 96.1507,
-0.6175, 0.0000, 95.7461,
-0.6155, 0.0000, 95.3430,
-0.6301, 0.0000, 94.9413,
-0.6204, 0.0000, 94.5445,
-0.6253, 0.0000, 94.1491,
-0.6458, 0.0000, 93.7576,
-0.6292, 0.0000, 93.3695,
-0.6643, 0.0000, 92.9847,
-0.6702, 0.0000, 92.6041,
-0.6721, 0.0000, 92.2255,
-0.7425, 0.0000, 91.8505,
-0.7366, 0.0000, 91.4768,
-0.7044, 0.0000, 91.1060,
-0.7053, 0.0000, 90.7366,
-0.7024, 0.0000, 90.3707,
-0.7298, 0.0000, 90.0061,
-0.6966, 0.0000, 89.6439,
-0.6946, 0.0000, 89.2844,
-0.7122, 0.0000, 88.9284,
-0.6956, 0.0000, 88.5748,
-0.6966, 0.0000, 88.2233,
-0.7141, 0.0000, 87.8752,
-0.6926, 0.0000, 87.5290,
-0.6760, 0.0000, 87.1850,
-0.6800, 0.0000, 86.8441,
-0.6594, 0.0000, 86.5064,
-0.6741, 0.0000, 86.1714,
-0.6907, 0.0000, 85.8382,
-0.6770, 0.0000, 85.5061,
-0.6887, 0.0000, 85.1757,
-0.6887, 0.0000, 84.8487,
-0.7005, 0.0000, 84.5238,
-0.6536, 0.0000, 84.2005,
-0.6829, 0.0000, 83.8809,
-0.7161, 0.0000, 83.5641,
-1.1692, 0.0000, 83.2565,
-2.5501, 0.0000, 83.0453,
-2.8333, 0.0000, 82.9037,
-2.8040, 0.0000, 82.7807,
-2.7708, 0.0000, 82.6718,
-2.7141, 0.0000, 82.5749,
-2.6096, 0.0000, 82.4830,
-2.5130, 0.0000, 82.3967,
-2.4407, 0.0000, 82.3153,
-2.3821, 0.0000, 82.2364,
-2.2815, 0.0000, 82.1586,
-2.1301, 0.0000, 82.0784,
-2.1428, 0.0000, 81.9992,
-2.1135, 0.0000, 81.9300,
-2.0901, 0.0000, 81.8616,
-2.0354, 0.0000, 81.7956,
-1.9485, 0.0000, 81.7249,
-1.9534, 0.0000, 81.6597,
